hostname,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2,distance_pc,model_G,model_BP,model_RP,model_H,model_g,model_r,model_i,model_z
HAT-P-16,1.2180000027287556,2000000005.7507823,0.5,3.0,13.839542783536167,1.7423999999999997,15.581942783536167,221.124649047852,6.350581651914635,7.407621616230072,5.302020652130173,1.0397374184201182,12.879913841631419,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-149,0.595,4999999999.999999,0.5,3.0,72.93590385658092,2.4336,75.36950385658092,123.147987365723,11.115780110325922,13.086624905202902,9.448098148194072,1.0397374184201182,13.277845034966585,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-1470,0.471,1300000000.0000005,0.5,3.0,96.29697439282316,4.0,100.29697439282316,51.7061614990234,12.360809900938618,14.599761143543972,10.59024347560516,1.0397374184201182,12.691597606000153,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-244,0.428,7000000000.000002,0.5,3.0,120.6684927655829,12.6736,133.3420927655829,22.0678691864014,12.735693955577267,15.070867995455421,10.933907530243808,1.0397374184201182,13.421257584503529,2.6075461645047113,2.000914094274466,1.4454052336850218
LHS 1140,0.1844,4999999940.711875,0.5,3.0,206.0847264632364,6.760000000000057,212.84472646323644,14.9584770202637,15.63903707437694,18.84123421929864,13.6239104010585,1.0397374184201182,13.277845029214928,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-206,0.7894810072931873,1000000.0,0.5,3.0,262.1058850274037,6.553600000000001,268.6594850274037,245.495971679688,7.053835885042595,8.56120819888244,5.633577748804438,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-217,1.102661,1000000.0,0.5,2.7701524647633295,171.18684133954307,3.3856,174.57244133954308,379.144622802734,6.142431221463367,7.468460855138143,4.846472305807205,0.9985275093992589,9.305053252955263,2.4078460542733064,1.8508369208389241,1.338087045374248
K2-216,0.7,4999999999.999999,0.5,3.0,49.45042832424043,4.0,53.45042832424043,114.826606750488,9.865973832566805,11.464325955275648,8.388237933692523,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-207,0.941851,1000000.0,0.5,3.0,180.25295893831787,2.4336,182.6865589383179,363.260772705078,6.655479048015844,8.089621528545484,5.281675372682386,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
HD 5278,1.1259999954920799,2999999946.540524,0.37181139989646017,3.0,15.480222390943098,3.8700552490898565,19.350277640032953,57.3906440734863,6.64300247290208,7.7159653356772395,5.5766434839244,0.9115488183165785,13.054046009235622,2.6075461645047113,1.9924413405620225,1.4369324799725782
K2-385,0.9270000344148316,1000000.0,0.5,3.0,259.55225352985235,8.38681600000002,267.93906952985236,401.766815185547,6.690007543001361,8.12971913562544,5.3124911262716115,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
